Package                      Version
---------------------------- -----------
absl-py                      2.1.0
accelerate                   1.0.1
aiohappyeyeballs             2.4.3
aiohttp                      3.10.10
aiosignal                    1.3.1
alembic                      1.13.3
arfpy                        0.1.1
attrs                        24.2.0
autograd                     1.7.0
autograd-gamma               0.5.0
be_great                     0.0.8
blis                         0.7.11
Brotli                       1.1.0
cachetools                   5.5.0
catalogue                    2.0.10
certifi                      2024.8.30
charset-normalizer           3.4.0
click                        8.1.7
cloudpathlib                 0.20.0
cloudpickle                  3.1.0
colorlog                     6.9.0
confection                   0.1.5
contourpy                    1.3.0
cycler                       0.12.1
cymem                        2.0.8
datasets                     3.1.0
decaf-synthetic-data         0.1.6
dill                         0.3.8
fastai                       2.7.18
fastcore                     1.7.19
fastdownload                 0.0.7
fastprogress                 1.0.3
feather-format               0.4.1
fflows                       0.0.3
filelock                     3.16.1
fonttools                    4.54.1
formulaic                    1.0.2
frozenlist                   1.5.0
fsspec                       2024.9.0
geomloss                     0.2.6
google-ai-generativelanguage 0.6.10
google-api-core              2.22.0
google-api-python-client     2.151.0
google-auth                  2.35.0
google-auth-httplib2         0.2.0
google-generativeai          0.8.3
googleapis-common-protos     1.65.0
greenlet                     3.1.1
grpcio                       1.67.1
grpcio-status                1.67.1
h5py                         3.12.1
httplib2                     0.22.0
huggingface-hub              0.26.2
idna                         3.10
imbalanced-learn             0.12.4
importlib_metadata           8.5.0
inflate64                    1.0.0
interface-meta               1.3.0
Jinja2                       3.1.4
joblib                       1.4.2
keopscore                    2.2.3
kiwisolver                   1.4.7
langcodes                    3.4.1
language_data                1.2.0
lifelines                    0.29.0
lightning-utilities          0.11.8
llvmlite                     0.43.0
loguru                       0.7.2
Mako                         1.3.6
marisa-trie                  1.2.1
Markdown                     3.7
markdown-it-py               3.0.0
MarkupSafe                   3.0.2
matplotlib                   3.9.2
mdurl                        0.1.2
monai                        1.4.0
mpmath                       1.3.0
multidict                    6.1.0
multiprocess                 0.70.16
multivolumefile              0.2.3
murmurhash                   1.0.10
networkx                     2.8.8
nflows                       0.14
numba                        0.60.0
numpy                        1.26.4
nvidia-cublas-cu12           12.1.3.1
nvidia-cuda-cupti-cu12       12.1.105
nvidia-cuda-nvrtc-cu12       12.1.105
nvidia-cuda-runtime-cu12     12.1.105
nvidia-cudnn-cu12            8.9.2.26
nvidia-cufft-cu12            11.0.2.54
nvidia-curand-cu12           10.3.2.106
nvidia-cusolver-cu12         11.4.5.107
nvidia-cusparse-cu12         12.1.0.106
nvidia-nccl-cu12             2.19.3
nvidia-nvjitlink-cu12        12.6.77
nvidia-nvtx-cu12             12.1.105
opacus                       1.5.2
opt_einsum                   3.4.0
optuna                       4.0.0
packaging                    24.1
pandas                       2.2.3
patsy                        0.5.6
pgmpy                        0.1.26
pillow                       11.0.0
pip                          24.0
preshed                      3.0.9
propcache                    0.2.0
proto-plus                   1.25.0
protobuf                     5.28.3
psutil                       6.1.0
py7zr                        0.22.0
pyarrow                      18.0.0
pyasn1                       0.6.1
pyasn1_modules               0.4.1
pybcj                        1.0.2
pybind11                     2.13.6
pycox                        0.3.0
pycryptodomex                3.21.0
pydantic                     1.10.18
Pygments                     2.18.0
pykeops                      2.2.3
pyparsing                    3.2.0
pyppmd                       1.1.0
python-dateutil              2.9.0.post0
pytorch-lightning            1.9.5
pyts                         0.13.0
pytz                         2024.2
PyYAML                       6.0.2
pyzstd                       0.16.2
redis                        5.2.0
regex                        2024.9.11
requests                     2.32.3
rich                         13.9.3
rsa                          4.9
safetensors                  0.4.5
scikit-learn                 1.5.2
scipy                        1.14.1
setuptools                   75.3.0
shap                         0.46.0
shellingham                  1.5.4
six                          1.16.0
slicer                       0.0.8
smart-open                   7.0.5
spacy                        3.7.5
spacy-legacy                 3.0.12
spacy-loggers                1.0.5
SQLAlchemy                   2.0.36
srsly                        2.4.8
statsmodels                  0.14.4
sympy                        1.13.3
synthcity                    0.2.11
tenacity                     9.0.0
tensorboard                  2.18.0
tensorboard-data-server      0.7.2
texttable                    1.7.0
thinc                        8.2.5
threadpoolctl                3.5.0
tokenizers                   0.20.1
torch                        2.2.0
torchdata                    0.7.1
torchmetrics                 1.5.1
torchtext                    0.16.2
torchtuples                  0.2.2
torchvision                  0.17.0
tqdm                         4.66.6
transformers                 4.46.1
triton                       2.2.0
tsai                         0.3.9
typer                        0.12.5
typing_extensions            4.12.2
tzdata                       2024.2
uritemplate                  4.1.1
urllib3                      2.2.3
wasabi                       1.1.3
weasel                       0.4.1
Werkzeug                     3.1.0
wrapt                        1.16.0
xgboost                      2.1.2
xgbse                        0.3.3
xxhash                       3.5.0
yarl                         1.17.1
zipp                         3.20.2
